epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,381.39,1.05785,1.6589,0.72411,0.96944,0,0.88667,0.95929,0.90266,0.60216,0.89311,0.96597,0.90863,0.61075,0.99481,1.53717,0.82396,0.99318,0,0.0018218,0.0018218,0.0018218
29,397.258,1.02148,1.6434,0.72884,0.95949,0,0.87724,0.93471,0.89028,0.58014,0.888,0.94618,0.89856,0.58087,1.01818,1.65728,0.876,1.00501,0,0.0018152,0.0018152,0.0018152
30,410.953,1.00828,1.64176,0.6932,0.95405,0,0.86764,0.9311,0.88749,0.57168,0.87832,0.94172,0.90138,0.59452,1.00382,1.52147,0.86371,0.99618,0,0.0018086,0.0018086,0.0018086
31,420.454,1.00712,1.59979,0.71,0.95637,0,0.8784,0.95468,0.8908,0.59007,0.88505,0.96369,0.89831,0.59163,1.0158,1.52245,0.81483,0.99798,0,0.001802,0.001802,0.001802
32,431.965,1.02585,1.61202,0.69906,0.95913,0,0.88208,0.97038,0.91244,0.60345,0.88484,0.97357,0.91437,0.61502,1.03906,1.53333,0.81648,1.02438,0,0.0017954,0.0017954,0.0017954
33,448.236,1.00798,1.5953,0.7118,0.95382,0,0.89033,0.94968,0.90332,0.59672,0.90022,0.95764,0.9094,0.61559,1.00326,1.50462,0.8004,1.00763,0,0.0017888,0.0017888,0.0017888
34,460.479,1.0373,1.62121,0.69522,0.96882,0,0.8868,0.9586,0.90379,0.57134,0.89181,0.96401,0.90748,0.59358,1.15078,1.63083,0.81069,1.05751,0,0.0017822,0.0017822,0.0017822
35,470.387,1.04364,1.62735,0.69872,0.96592,0,0.88077,0.95754,0.90412,0.60287,0.8867,0.96456,0.90775,0.59946,1.02413,1.54843,0.83286,1.00444,0,0.0017756,0.0017756,0.0017756
36,482.472,1.00771,1.59736,0.69683,0.94875,0,0.89235,0.95828,0.89984,0.5888,0.8971,0.96338,0.90562,0.60671,1.01006,1.52706,0.80572,0.99724,0,0.001769,0.001769,0.001769
37,493.725,1.0092,1.6012,0.67829,0.95945,0,0.88001,0.93312,0.8977,0.60485,0.88604,0.94013,0.90223,0.59825,0.98561,1.58024,0.84433,0.9915,0,0.0017624,0.0017624,0.0017624
38,507.406,1.01629,1.65675,0.70891,0.95683,0,0.89418,0.95287,0.90193,0.58083,0.90068,0.95828,0.90754,0.60892,1.00364,1.51343,0.84179,0.99992,0,0.0017558,0.0017558,0.0017558
39,519.539,0.99191,1.5908,0.69603,0.95564,0,0.86663,0.94427,0.88608,0.59168,0.87423,0.95255,0.89182,0.59396,0.99548,1.56928,0.83331,0.98813,0,0.0017492,0.0017492,0.0017492
40,529.536,1.00274,1.59863,0.67998,0.949,0,0.88455,0.94189,0.89335,0.57228,0.89143,0.94921,0.90378,0.59437,1.0286,1.54163,0.84499,0.99656,0,0.0017426,0.0017426,0.0017426
41,539.583,0.99516,1.60338,0.67632,0.94899,0,0.89404,0.94522,0.90251,0.60593,0.90087,0.95215,0.90896,0.60095,1.01434,1.60136,0.79305,0.99383,0,0.001736,0.001736,0.001736
42,550.741,0.97697,1.57966,0.66484,0.9475,0,0.88245,0.95764,0.89643,0.58644,0.8892,0.96611,0.90446,0.59749,0.99932,1.56361,0.8009,0.99592,0,0.0017294,0.0017294,0.0017294
43,564.854,0.99793,1.58425,0.68361,0.94962,0,0.8661,0.93525,0.88642,0.588,0.87725,0.94841,0.89896,0.60337,1.01491,1.51117,0.81782,0.99279,0,0.0017228,0.0017228,0.0017228
44,577.676,1.01542,1.576,0.6836,0.95278,0,0.8815,0.96019,0.89345,0.60223,0.88939,0.96879,0.90081,0.60517,0.99398,1.49296,0.80656,1.00173,0,0.0017162,0.0017162,0.0017162
45,589.235,0.99679,1.58057,0.67034,0.95304,0,0.86584,0.92903,0.8802,0.59099,0.87624,0.93599,0.88905,0.59433,0.99069,1.53506,0.81407,0.99115,0,0.0017096,0.0017096,0.0017096
46,599.007,1.00715,1.5803,0.68689,0.95188,0,0.87533,0.95254,0.89473,0.60636,0.88352,0.96145,0.90101,0.59412,0.96889,1.51325,0.80126,0.98294,0,0.001703,0.001703,0.001703
47,612.175,0.98513,1.5674,0.66462,0.94933,0,0.87381,0.93944,0.89823,0.60699,0.88358,0.94995,0.90408,0.58515,1.00423,1.5781,0.77215,1.00047,0,0.0016964,0.0016964,0.0016964
48,624.08,0.98467,1.56624,0.67337,0.94855,0,0.86711,0.94586,0.88107,0.57734,0.87943,0.95987,0.89293,0.5958,1.02223,1.53585,0.79984,1.00058,0,0.0016898,0.0016898,0.0016898
49,635.614,0.9946,1.5518,0.66896,0.93507,0,0.88074,0.93631,0.90228,0.60988,0.90174,0.94698,0.91148,0.60874,0.95802,1.47945,0.83767,0.97964,0,0.0016832,0.0016832,0.0016832
50,649.721,0.99678,1.58442,0.6724,0.94923,0,0.88924,0.92866,0.90248,0.60811,0.90152,0.94363,0.91323,0.60326,1.03312,1.59457,0.82732,1.00153,0,0.0016766,0.0016766,0.0016766
51,659.715,0.97565,1.5561,0.66172,0.94476,0,0.87575,0.95287,0.90062,0.59969,0.88231,0.95828,0.90457,0.61131,0.98747,1.56276,0.80868,0.98161,0,0.00167,0.00167,0.00167
52,671.954,0.98932,1.56788,0.6483,0.94852,0,0.87948,0.93892,0.90387,0.61992,0.88542,0.94753,0.90846,0.60859,0.95453,1.55612,0.78166,0.97688,0,0.0016634,0.0016634,0.0016634
53,688.544,0.98443,1.55388,0.65897,0.94206,0,0.8783,0.94427,0.89341,0.61323,0.89222,0.95924,0.90337,0.60474,0.96611,1.4741,0.79728,0.98821,0,0.0016568,0.0016568,0.0016568
54,701.589,0.99685,1.56392,0.66104,0.94507,0,0.87501,0.94459,0.90233,0.60694,0.87796,0.94777,0.90242,0.60773,1.01278,1.56322,0.79257,0.99223,0,0.0016502,0.0016502,0.0016502
55,714.6,0.98127,1.54967,0.65735,0.94458,0,0.90923,0.9465,0.91542,0.60488,0.91329,0.95096,0.9186,0.61927,1.04671,1.49364,0.75935,1.02015,0,0.0016436,0.0016436,0.0016436
56,727.574,0.96988,1.52864,0.65359,0.94228,0,0.88759,0.95478,0.89959,0.60597,0.89652,0.96295,0.9053,0.61391,0.97819,1.47559,0.7717,0.98622,0,0.001637,0.001637,0.001637
57,742.147,0.96781,1.5315,0.64519,0.93847,0,0.88772,0.94423,0.90002,0.60633,0.8975,0.9535,0.90386,0.59603,1.00178,1.49648,0.79059,0.99403,0,0.0016304,0.0016304,0.0016304
58,755.801,0.96999,1.52502,0.64779,0.93937,0,0.86211,0.93248,0.88492,0.59869,0.88082,0.94622,0.8988,0.60495,0.95043,1.46198,0.82151,0.97343,0,0.0016238,0.0016238,0.0016238
59,767.846,0.96471,1.52474,0.65454,0.94218,0,0.8717,0.9369,0.89408,0.59915,0.88711,0.95346,0.90607,0.60373,0.97767,1.49548,0.81405,0.98353,0,0.0016172,0.0016172,0.0016172
60,777.152,0.96308,1.51197,0.65416,0.94007,0,0.8845,0.94625,0.89695,0.61444,0.89581,0.95836,0.90838,0.61452,0.93078,1.46436,0.80539,0.96877,0,0.0016106,0.0016106,0.0016106
61,789.546,0.96091,1.52485,0.65381,0.9377,0,0.88531,0.94896,0.8918,0.58825,0.89423,0.95852,0.90208,0.60805,0.99272,1.51759,0.81317,0.98689,0,0.001604,0.001604,0.001604
62,799.574,0.96201,1.52088,0.65978,0.93204,0,0.88018,0.95212,0.89754,0.59437,0.88195,0.95573,0.8993,0.60244,1.02771,1.55001,0.77709,0.99133,0,0.0015974,0.0015974,0.0015974
63,815.779,0.96642,1.51542,0.65205,0.94073,0,0.87687,0.95481,0.89242,0.60495,0.88067,0.95895,0.89463,0.60629,0.95684,1.49175,0.77252,0.97546,0,0.0015908,0.0015908,0.0015908
64,825.016,0.9665,1.492,0.62794,0.93662,0,0.89677,0.9489,0.91519,0.61338,0.90549,0.95813,0.91986,0.63289,0.9772,1.45349,0.77613,0.98306,0,0.0015842,0.0015842,0.0015842
65,836.787,0.97121,1.51843,0.63993,0.93577,0,0.88554,0.95732,0.89786,0.60363,0.89585,0.96847,0.90671,0.60244,0.97334,1.50544,0.77894,0.98042,0,0.0015776,0.0015776,0.0015776
66,846.609,0.95458,1.50517,0.62828,0.93555,0,0.89748,0.94788,0.91133,0.6121,0.90346,0.95478,0.91664,0.6261,1.00445,1.46481,0.77503,0.98797,0,0.001571,0.001571,0.001571
67,859.883,0.96115,1.50582,0.63015,0.93608,0,0.87777,0.94076,0.91102,0.62568,0.8822,0.94809,0.91557,0.62798,0.97935,1.49228,0.77265,0.97972,0,0.0015644,0.0015644,0.0015644
